team1Name,team2Name,week,day,start,end,season,league,location
Raystad Commandos,Ramirezmouth Dolphins,16,1,11.0,13.0,2024,Platinum League,Lake Dawn Hub Field #1
Shawnport Bucaneers,North Charles Sabres,16,3,10.0,12.0,2024,Platinum League,Wesleybury Place Field #1
Ramirezland Pirates,Smithbury Chiefs,16,1,13.0,15.0,2024,Platinum League,Lake Dawn Hub Field #1
North Justinmouth Hornets,Pattyport Hornets,16,1,4.5,6.5,2024,Platinum League,Lake Dawn Hub Field #1
Parkerstad Dolphins,Underwoodfurt Celtics,16,1,7.5,9.5,2024,Platinum League,Lake Dawn Hub Field #1
New Dannyfort Mavericks,South Kyle Westerners,16,1,10.0,12.0,2024,Platinum League,Wesleybury Place Field #1
Lake Regina Wildcats,New Julie Bears,16,1,3.5,5.5,2024,Platinum League,Wesleybury Place Field #1
West Brittneystad Chiefs,North Donaldport Americans,16,1,12.5,14.5,2024,Platinum League,Wesleybury Place Field #1
Christinaton Robbers,Lake Natalie Wildcats,16,1,16.5,18.5,2024,Platinum League,North Christine Complex Field #1
Hillborough Mavericks,Port Gordontown Mavericks,16,1,15.0,17.0,2024,Platinum League,Lake Dawn Hub Field #1
Savagechester Grizzlies,Lake Melissaborough Sabres,16,1,19.0,21.0,2024,Platinum League,North Christine Complex Field #1
Tinashire Vikings,East Kimberlyshire Westerners,16,1,17.0,19.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Shawnport Bucaneers,16,2,14.0,16.0,2024,Platinum League,Lake Dawn Hub Field #1
Ramirezland Pirates,Ramirezmouth Dolphins,16,1,14.5,16.5,2024,Platinum League,Wesleybury Place Field #1
North Justinmouth Hornets,North Charles Sabres,16,1,17.5,19.5,2024,Platinum League,North Christine Complex Field #2
Parkerstad Dolphins,Smithbury Chiefs,16,1,16.5,18.5,2024,Platinum League,Wesleybury Place Field #1
New Dannyfort Mavericks,Pattyport Hornets,16,1,19.0,21.0,2024,Platinum League,Lake Dawn Hub Field #1
Lake Regina Wildcats,Underwoodfurt Celtics,16,2,8.0,10.0,2024,Platinum League,Lake Dawn Hub Field #1
West Brittneystad Chiefs,South Kyle Westerners,16,1,10.0,12.0,2024,Platinum League,Wesleybury Place Field #2
Christinaton Robbers,New Julie Bears,16,2,10.0,12.0,2024,Platinum League,Lake Dawn Hub Field #1
Hillborough Mavericks,North Donaldport Americans,16,1,21.0,23.0,2024,Platinum League,Lake Dawn Hub Field #1
Savagechester Grizzlies,Lake Natalie Wildcats,16,1,19.5,21.5,2024,Platinum League,North Christine Complex Field #2
Tinashire Vikings,Port Gordontown Mavericks,16,1,7.0,9.0,2024,Platinum League,Wesleybury Place Field #1
East Kimberlyshire Westerners,Lake Melissaborough Sabres,16,2,12.0,14.0,2024,Platinum League,Lake Dawn Hub Field #1
Raystad Commandos,Ramirezland Pirates,17,1,8.0,10.0,2024,Platinum League,Lake Dawn Hub Field #1
North Justinmouth Hornets,Shawnport Bucaneers,17,1,13.0,15.0,2024,Platinum League,Lake Dawn Hub Field #1
Parkerstad Dolphins,Ramirezmouth Dolphins,17,1,11.0,13.0,2024,Platinum League,Lake Dawn Hub Field #1
New Dannyfort Mavericks,North Charles Sabres,17,3,7.0,9.0,2024,Platinum League,Wesleybury Place Field #1
Lake Regina Wildcats,Smithbury Chiefs,17,2,13.5,15.5,2024,Platinum League,Lake Dawn Hub Field #1
West Brittneystad Chiefs,Pattyport Hornets,17,1,15.0,17.0,2024,Platinum League,Lake Dawn Hub Field #1
Christinaton Robbers,Underwoodfurt Celtics,17,1,17.0,19.0,2024,Platinum League,Lake Dawn Hub Field #1
Hillborough Mavericks,South Kyle Westerners,17,1,3.0,5.0,2024,Platinum League,Lake Dawn Hub Field #1
Savagechester Grizzlies,New Julie Bears,17,2,11.5,13.5,2024,Platinum League,Lake Dawn Hub Field #1
Tinashire Vikings,North Donaldport Americans,17,1,12.5,14.5,2024,Platinum League,Wesleybury Place Field #1
