team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,12,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 3,Team 4,12,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 5,Team 6,12,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 7,Team 8,12,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 3,13,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 5,Team 2,13,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 7,Team 4,13,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 8,Team 6,13,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 5,14,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 7,Team 3,14,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 8,Team 2,14,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 6,Team 4,14,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 7,15,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 8,Team 5,15,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 6,Team 3,15,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 4,Team 2,15,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 8,16,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 6,Team 7,16,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 4,Team 5,16,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 3,16,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 6,17,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 4,Team 8,17,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 2,Team 7,17,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 5,17,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 4,18,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 2,Team 6,18,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 3,Team 8,18,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 5,Team 7,18,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 2,19,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 3,Team 4,19,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 5,Team 6,19,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 7,Team 8,19,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 3,20,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 5,Team 2,20,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 7,Team 4,20,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 8,Team 6,20,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 5,21,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 7,Team 3,21,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 8,Team 2,21,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 6,Team 4,21,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 7,22,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 8,Team 5,22,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 6,Team 3,22,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 4,Team 2,22,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 1,Team 8,23,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 6,Team 7,23,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 4,Team 5,23,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 3,23,1,19.0,21.0,2024,League 1,Venue 1 Field #2
