team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,12,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 3,Team 4,12,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 5,Team 6,12,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 7,Team 8,12,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 9,Team 10,12,1,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 11,Team 12,12,1,19.0,21.0,2024,League 1,Venue 1 Field #3
Team 13,Team 14,12,1,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 15,Team 16,12,1,19.0,21.0,2024,League 1,Venue 1 Field #4
Team 1,Team 3,13,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 5,Team 2,13,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 7,Team 4,13,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 9,Team 6,13,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 11,Team 8,13,1,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 13,Team 10,13,1,19.0,21.0,2024,League 1,Venue 1 Field #3
Team 15,Team 12,13,1,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 16,Team 14,13,1,19.0,21.0,2024,League 1,Venue 1 Field #4
Team 1,Team 5,14,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 7,Team 3,14,1,19.0,21.0,2024,League 1,Venue 1 Field #1
Team 9,Team 2,14,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 11,Team 4,14,1,19.0,21.0,2024,League 1,Venue 1 Field #2
Team 13,Team 6,14,1,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 15,Team 8,14,1,19.0,21.0,2024,League 1,Venue 1 Field #3
Team 16,Team 10,14,1,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 14,Team 12,14,1,19.0,21.0,2024,League 1,Venue 1 Field #4
