team1Name,team2Name,week,day,start,end,season,league,location
Brownburgh Pirates,Davidbury Chiefs,16,2,10.5,12.5,2024,Platinum League,Johnsonmouth Hub Field #1
Mooreview Eagles,Jasonbury Bears,16,1,12.0,14.0,2024,Platinum League,Johnsonmouth Hub Field #1
Lake Amanda Grizzlies,New Scott Wildcats,16,2,14.5,16.5,2024,Platinum League,Johnsonmouth Hub Field #1
Garrettburgh Pirates,East Albert Jacks,16,5,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
New Jason Dolphins,Port Rebeccachester Hawks,16,4,4.5,6.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Annaberg Jacks,Vanessamouth Dolphins,16,1,10.0,12.0,2024,Platinum League,Johnsonmouth Hub Field #1
Port Justin Sabres,West Lauratown Robbers,16,1,8.0,10.0,2024,Platinum League,Johnsonmouth Hub Field #1
North Richardhaven Dolphins,Hallside Sox,16,1,14.0,16.0,2024,Platinum League,Johnsonmouth Hub Field #1
Zimmermanfort Americans,South Charles Rappers,16,1,16.0,18.0,2024,Platinum League,Johnsonmouth Hub Field #1
South Heatherville Bulls,Mullinsburgh Jacks,16,2,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Megan Bears,South Dean Bears,16,2,4.5,6.5,2024,Platinum League,Johnsonmouth Hub Field #1
Lake Leroy Rappers,West Stacie Mavericks,16,1,0.5,2.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Mooreview Eagles,17,1,5.5,7.5,2024,Platinum League,Johnsonmouth Hub Field #1
Lake Amanda Grizzlies,Davidbury Chiefs,17,4,3.0,5.0,2024,Platinum League,Johnsonmouth Hub Field #1
Garrettburgh Pirates,Jasonbury Bears,17,2,5.5,7.5,2024,Platinum League,Johnsonmouth Hub Field #1
New Jason Dolphins,New Scott Wildcats,17,2,13.5,15.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Annaberg Jacks,East Albert Jacks,17,1,8.5,10.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Justin Sabres,Port Rebeccachester Hawks,17,1,10.5,12.5,2024,Platinum League,Johnsonmouth Hub Field #1
North Richardhaven Dolphins,Vanessamouth Dolphins,17,1,12.5,14.5,2024,Platinum League,Johnsonmouth Hub Field #1
Zimmermanfort Americans,West Lauratown Robbers,17,1,14.5,16.5,2024,Platinum League,Johnsonmouth Hub Field #1
South Heatherville Bulls,Hallside Sox,17,1,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Megan Bears,South Charles Rappers,17,5,0.5,2.5,2024,Platinum League,Johnsonmouth Hub Field #1
Lake Leroy Rappers,Mullinsburgh Jacks,17,2,15.5,17.5,2024,Platinum League,Johnsonmouth Hub Field #1
West Stacie Mavericks,South Dean Bears,17,2,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Lake Amanda Grizzlies,18,1,5.5,7.5,2024,Platinum League,Johnsonmouth Hub Field #1
Garrettburgh Pirates,Mooreview Eagles,18,1,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
New Jason Dolphins,Davidbury Chiefs,18,4,4.5,6.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Annaberg Jacks,Jasonbury Bears,18,1,12.0,14.0,2024,Platinum League,Johnsonmouth Hub Field #1
Port Justin Sabres,New Scott Wildcats,18,2,13.5,15.5,2024,Platinum League,Johnsonmouth Hub Field #1
North Richardhaven Dolphins,East Albert Jacks,18,1,14.0,16.0,2024,Platinum League,Johnsonmouth Hub Field #1
Zimmermanfort Americans,Port Rebeccachester Hawks,18,1,9.5,11.5,2024,Platinum League,Johnsonmouth Hub Field #1
South Heatherville Bulls,Vanessamouth Dolphins,18,4,10.5,12.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Megan Bears,West Lauratown Robbers,18,1,3.5,5.5,2024,Platinum League,Johnsonmouth Hub Field #1
Lake Leroy Rappers,Hallside Sox,18,2,11.0,13.0,2024,Platinum League,Johnsonmouth Hub Field #1
West Stacie Mavericks,South Charles Rappers,18,1,16.0,18.0,2024,Platinum League,Johnsonmouth Hub Field #1
South Dean Bears,Mullinsburgh Jacks,18,1,20.5,22.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Garrettburgh Pirates,19,1,5.5,7.5,2024,Platinum League,Johnsonmouth Hub Field #1
New Jason Dolphins,Lake Amanda Grizzlies,19,2,14.5,16.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Annaberg Jacks,Mooreview Eagles,19,1,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
Port Justin Sabres,Davidbury Chiefs,19,4,1.5,3.5,2024,Platinum League,Johnsonmouth Hub Field #1
North Richardhaven Dolphins,Jasonbury Bears,19,1,12.0,14.0,2024,Platinum League,Johnsonmouth Hub Field #1
Zimmermanfort Americans,New Scott Wildcats,19,1,14.5,16.5,2024,Platinum League,Johnsonmouth Hub Field #1
