team1Name,team2Name,week,day,start,end,season,league,location
East Jamesberg Mavericks,New Jacqueline Vikings,12,1,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
South Jonathan Commandos,North Adrianside Commandos,12,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
Gallegosstad Pirates,North Stevenberg Eagles,12,1,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
West Kentport Chiefs,South Vincent Grizzlies,12,4,13.5,15.5,2024,Platinum League,South Kimberly Plaza Field #1
Patrickshire Hawks,Riveraton Bears,12,1,20.0,22.0,2024,Platinum League,South Kimberly Plaza Field #1
Janiceland Bears,South Kara Raptors,12,1,4.0,6.0,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,West Donald Mavericks,12,2,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,Port Victoriaberg Americans,12,1,13.0,15.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,West Eddieland Pirates,12,1,15.0,17.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,Roberttown Bobcats,12,2,2.0,4.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,Lake Jean Raptors,12,1,17.0,19.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,Fordfurt Hornets,12,5,2.5,4.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Jonathan Commandos,13,1,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Gallegosstad Pirates,New Jacqueline Vikings,13,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
West Kentport Chiefs,North Adrianside Commandos,13,2,16.0,18.0,2024,Platinum League,South Kimberly Plaza Field #1
Patrickshire Hawks,North Stevenberg Eagles,13,1,20.0,22.0,2024,Platinum League,South Kimberly Plaza Field #1
Janiceland Bears,South Vincent Grizzlies,13,2,3.5,5.5,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,Riveraton Bears,13,1,14.5,16.5,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,South Kara Raptors,13,1,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,West Donald Mavericks,13,1,16.5,18.5,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,Port Victoriaberg Americans,13,3,10.0,12.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,West Eddieland Pirates,13,2,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,Roberttown Bobcats,13,1,3.0,5.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,Lake Jean Raptors,13,2,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Gallegosstad Pirates,14,2,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
West Kentport Chiefs,South Jonathan Commandos,14,3,4.5,6.5,2024,Platinum League,South Kimberly Plaza Field #1
Patrickshire Hawks,New Jacqueline Vikings,14,3,1.5,3.5,2024,Platinum League,South Kimberly Plaza Field #1
Janiceland Bears,North Adrianside Commandos,14,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,North Stevenberg Eagles,14,1,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,South Vincent Grizzlies,14,3,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,Riveraton Bears,14,1,14.5,16.5,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,South Kara Raptors,14,2,1.0,3.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,West Donald Mavericks,14,2,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,Port Victoriaberg Americans,14,3,16.0,18.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,West Eddieland Pirates,14,2,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,Roberttown Bobcats,14,1,5.5,7.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Kentport Chiefs,15,5,9.5,11.5,2024,Platinum League,South Kimberly Plaza Field #1
Patrickshire Hawks,Gallegosstad Pirates,15,2,2.5,4.5,2024,Platinum League,South Kimberly Plaza Field #1
Janiceland Bears,South Jonathan Commandos,15,1,4.0,6.0,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,New Jacqueline Vikings,15,1,10.0,12.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,North Adrianside Commandos,15,1,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,North Stevenberg Eagles,15,1,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,South Vincent Grizzlies,15,2,4.5,6.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,Riveraton Bears,15,2,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,South Kara Raptors,15,1,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,West Donald Mavericks,15,6,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,Port Victoriaberg Americans,15,1,14.0,16.0,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,West Eddieland Pirates,15,2,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Patrickshire Hawks,16,3,6.5,8.5,2024,Platinum League,South Kimberly Plaza Field #1
Janiceland Bears,West Kentport Chiefs,16,3,8.5,10.5,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,Gallegosstad Pirates,16,1,10.0,12.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,South Jonathan Commandos,16,1,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,New Jacqueline Vikings,16,1,5.0,7.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,North Adrianside Commandos,16,2,9.5,11.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,North Stevenberg Eagles,16,1,14.0,16.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,South Vincent Grizzlies,16,1,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,Riveraton Bears,16,2,7.5,9.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,South Kara Raptors,16,1,16.0,18.0,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,West Donald Mavericks,16,2,2.5,4.5,2024,Platinum League,South Kimberly Plaza Field #1
West Eddieland Pirates,Port Victoriaberg Americans,16,2,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Janiceland Bears,17,1,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Johntown Chiefs,Patrickshire Hawks,17,4,19.0,21.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,West Kentport Chiefs,17,1,15.5,17.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,Gallegosstad Pirates,17,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,South Jonathan Commandos,17,2,1.0,3.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,New Jacqueline Vikings,17,1,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,North Adrianside Commandos,17,5,5.5,7.5,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,North Stevenberg Eagles,17,1,5.0,7.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,South Vincent Grizzlies,17,1,13.0,15.0,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,Riveraton Bears,17,5,7.5,9.5,2024,Platinum League,South Kimberly Plaza Field #1
West Eddieland Pirates,South Kara Raptors,17,2,3.0,5.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Victoriaberg Americans,West Donald Mavericks,17,3,13.5,15.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Johntown Chiefs,18,4,2.0,4.0,2024,Platinum League,South Kimberly Plaza Field #1
Robinsonberg Bears,Janiceland Bears,18,1,10.5,12.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,Patrickshire Hawks,18,1,20.0,22.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,West Kentport Chiefs,18,4,14.0,16.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,Gallegosstad Pirates,18,1,12.5,14.5,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,South Jonathan Commandos,18,1,4.0,6.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,New Jacqueline Vikings,18,1,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,North Adrianside Commandos,18,1,14.5,16.5,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,North Stevenberg Eagles,18,1,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
West Eddieland Pirates,South Vincent Grizzlies,18,2,3.5,5.5,2024,Platinum League,South Kimberly Plaza Field #1
Port Victoriaberg Americans,Riveraton Bears,18,2,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
West Donald Mavericks,South Kara Raptors,18,2,5.5,7.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Robinsonberg Bears,19,3,6.5,8.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jasonberg Hornets,Johntown Chiefs,19,1,10.0,12.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,Janiceland Bears,19,2,3.0,5.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,Patrickshire Hawks,19,6,11.5,13.5,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,West Kentport Chiefs,19,5,9.5,11.5,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,Gallegosstad Pirates,19,2,7.5,9.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,South Jonathan Commandos,19,1,5.5,7.5,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,New Jacqueline Vikings,19,1,7.5,9.5,2024,Platinum League,South Kimberly Plaza Field #1
West Eddieland Pirates,North Adrianside Commandos,19,1,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Victoriaberg Americans,North Stevenberg Eagles,19,1,14.0,16.0,2024,Platinum League,South Kimberly Plaza Field #1
West Donald Mavericks,South Vincent Grizzlies,19,2,5.0,7.0,2024,Platinum League,South Kimberly Plaza Field #1
South Kara Raptors,Riveraton Bears,19,2,9.5,11.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,East Jasonberg Hornets,20,1,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
Anthonychester Vikings,Robinsonberg Bears,20,1,19.5,21.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,Johntown Chiefs,20,2,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,Janiceland Bears,20,1,4.0,6.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,Patrickshire Hawks,20,3,5.0,7.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,West Kentport Chiefs,20,1,15.5,17.5,2024,Platinum League,South Kimberly Plaza Field #1
Roberttown Bobcats,Gallegosstad Pirates,20,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
West Eddieland Pirates,South Jonathan Commandos,20,1,11.5,13.5,2024,Platinum League,South Kimberly Plaza Field #1
Port Victoriaberg Americans,New Jacqueline Vikings,20,1,13.5,15.5,2024,Platinum League,South Kimberly Plaza Field #1
West Donald Mavericks,North Adrianside Commandos,20,4,2.0,4.0,2024,Platinum League,South Kimberly Plaza Field #1
South Kara Raptors,North Stevenberg Eagles,20,1,17.5,19.5,2024,Platinum League,South Kimberly Plaza Field #1
Riveraton Bears,South Vincent Grizzlies,20,5,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Anthonychester Vikings,21,2,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
Lake Joshuamouth Vikings,East Jasonberg Hornets,21,1,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
Port Gabrielmouth Bobcats,Robinsonberg Bears,21,3,16.0,18.0,2024,Platinum League,South Kimberly Plaza Field #1
Fordfurt Hornets,Johntown Chiefs,21,2,7.5,9.5,2024,Platinum League,South Kimberly Plaza Field #1
Lake Jean Raptors,Janiceland Bears,21,1,5.5,7.5,2024,Platinum League,South Kimberly Plaza Field #1
